0 1000 0 8 38 -1
0 1001 0 8 80 -1
0 1002 0 9 34 -1
0 1003 0 6 70 -1
0 1004 0 7 64 -1
0 1005 0 7 37 -1
1 1000 0 4 62 -1
1 1001 0 1 54 -1
2 1000 0 6 87 -1
3 1000 0 9 75 -1
3 1001 0 9 129 -1
3 1002 0 1 66 -1
4 1000 0 1 126 -1
4 1001 0 5 80 -1
4 1002 0 2 61 -1
4 1003 0 3 91 -1
4 1004 0 7 46 -1
4 1005 0 5 89 -1
4 1006 0 1 59 -1
4 1007 0 4 90 -1
4 1008 0 7 74 -1
4 1009 0 8 99 -1
5 1000 0 1 68 -1
5 1001 0 1 58 -1
5 1002 0 5 45 -1
5 1003 0 3 83 -1
5 1004 0 1 31 -1
5 1005 0 3 88 -1
5 1006 0 9 101 -1
6 1000 0 2 118 -1
6 1001 0 5 106 -1
6 1002 0 5 36 -1
6 1003 0 9 107 -1
7 1000 0 0 82 -1
7 1001 0 7 123 -1
7 1002 0 7 101 -1
7 1003 0 7 67 -1
7 1004 0 4 115 -1
7 1005 0 0 123 -1
7 1006 0 8 68 -1
7 1007 0 6 124 -1
8 1000 0 2 41 -1
8 1001 0 1 52 -1
8 1002 0 5 44 -1
8 1003 0 8 123 -1
8 1004 0 3 55 -1
9 1000 0 3 81 -1
9 1001 0 3 31 -1
9 1002 0 3 41 -1
